id,n1,n2,n3,n4,n5,n6,sp
106096,2,14,19,28,39,46,45
106097,4,23,25,28,39,43,41
106098,4,8,10,14,41,45,38
106099,9,14,17,19,46,47,29
106100,2,3,5,28,42,48,9
106101,1,12,13,37,41,43,49
106102,1,5,8,10,34,35,46
106103,16,19,28,37,38,41,10
106104,17,19,24,27,31,37,8
106105,3,14,18,31,41,42,2
106106,12,18,20,21,31,37,24
106107,7,8,10,20,24,27,19
106108,11,12,15,20,27,47,36
107001,2,6,12,18,36,46,47
107002,4,13,17,29,31,44,14
107003,2,10,22,23,24,37,42
107004,1,7,14,22,40,45,29
107005,8,26,29,32,36,39,23
107006,2,13,16,22,26,48,39
107007,2,12,26,28,33,34,44
107008,7,23,32,34,43,47,24
107009,7,8,15,23,31,36,30
107010,1,2,10,11,26,43,40
107011,6,10,24,27,41,43,49
107012,12,17,20,21,30,45,9
107013,4,10,19,26,35,45,38
107014,7,21,22,37,41,48,15
107015,4,7,23,24,27,41,17
107016,3,5,17,32,33,47,36
107017,7,8,20,28,34,46,10
107018,7,9,19,22,36,49,29
107019,12,33,34,38,40,46,7
107020,3,7,15,16,18,41,42
107021,1,3,18,23,28,44,10
107022,1,12,17,25,31,48,21
107023,9,11,13,17,38,42,29
107024,12,15,18,27,30,38,19
107025,14,20,22,27,28,38,19
107026,3,14,16,17,43,46,4
107027,8,9,23,30,37,41,31
107028,4,9,13,32,34,41,42
107029,13,15,24,30,38,40,44
107030,1,5,13,43,44,47,25
107031,1,7,22,32,34,36,8
107032,7,25,31,34,47,49,26
107033,7,27,32,34,41,47,9
107034,1,12,25,28,40,46,39
107035,7,16,31,38,40,41,39
107036,10,14,32,33,35,46,43
107037,9,10,19,21,35,36,49
107038,4,25,26,27,30,48,11
107039,8,29,33,34,46,49,19
107040,10,22,30,33,36,47,43
107041,3,8,21,22,37,41,46
107042,4,11,25,35,37,48,36
107043,2,12,13,16,32,43,24
107044,1,11,36,38,41,42,48
107045,2,13,24,29,41,49,45
107046,1,6,22,24,32,42,16
107047,11,14,20,26,37,41,2
107048,16,26,28,33,42,49,20
107049,2,17,22,25,26,41,16
107050,2,9,17,31,32,40,47
107051,2,3,14,15,35,37,29
107052,16,25,28,30,44,46,27
107053,8,9,28,34,37,42,15
107054,6,7,11,25,26,30,31
107055,5,9,11,23,37,44,24
107056,4,13,27,30,37,41,20
107057,9,11,20,31,34,44,10
107058,2,3,21,28,32,47,27
107059,9,11,21,24,39,43,7
107060,2,14,21,31,42,46,4
107061,11,20,26,34,41,43,9
107062,9,12,13,24,39,45,38
107063,24,25,29,32,42,49,12
107064,5,12,17,19,35,48,9
107065,15,20,22,31,35,37,14
107066,4,6,30,35,40,43,13
107067,12,13,19,25,30,46,5
107068,5,7,16,18,36,48,37
107069,15,16,17,25,34,49,5
107070,3,14,19,21,35,48,13
107071,8,12,17,28,31,34,1
107072,3,7,9,31,39,45,35
107073,8,10,11,39,42,44,27
107074,12,15,34,37,43,46,38
107075,4,6,10,15,42,49,12
107076,2,8,14,21,37,44,49
107077,14,16,18,23,25,44,41
107078,19,29,36,37,45,46,18
107079,11,23,34,36,41,45,43
107080,3,5,10,11,29,45,25
107081,19,25,27,39,40,46,6
107082,1,2,7,20,27,37,19
107083,2,8,16,33,42,47,14
107084,3,9,10,42,44,47,5
107085,8,13,16,23,35,41,21
107086,4,6,7,12,20,21,29
107087,1,24,39,40,46,49,33
107088,7,18,20,32,42,49,24
107089,6,9,13,20,42,43,21
107090,8,10,23,33,41,46,48
107091,3,9,28,32,39,47,7
107092,5,16,18,32,41,47,2
107093,2,5,26,29,38,39,7
107094,4,12,14,15,22,48,28
107095,7,21,35,36,42,43,10
107096,7,11,23,30,38,49,45
107097,4,31,34,36,40,44,20
107098,7,20,21,34,37,43,5
107099,27,33,36,41,43,44,31
107100,5,14,20,27,29,45,7
107101,3,6,12,16,17,20,14
107102,11,20,29,33,34,36,18
107103,7,12,15,21,27,47,48
107104,6,9,14,19,38,49,20
107105,5,8,11,15,33,37,3
107106,5,19,21,34,41,49,42
107107,7,26,27,28,30,32,44
107108,7,11,19,23,35,44,33
108001,18,23,24,25,39,42,48
108002,6,7,8,20,47,48,30
108003,4,19,21,28,39,43,18
108004,13,20,22,31,34,42,9
108005,12,20,30,38,40,41,10
108006,4,5,10,30,39,45,14
108007,2,20,36,37,42,46,29
108008,3,10,14,15,20,45,2
108009,14,20,24,30,44,48,31
108010,10,17,20,21,32,41,34
108011,2,7,22,35,46,49,41
108012,12,24,28,36,37,40,6
108013,6,8,24,32,34,36,49
108014,13,18,30,34,45,49,33
108015,17,23,28,29,32,39,12
108016,7,21,29,33,40,41,8
108017,8,13,14,32,36,42,5
108018,6,8,18,19,20,30,22
108019,5,8,14,19,22,47,24
108020,11,16,19,29,30,45,1
108021,1,3,40,44,46,48,2
108022,1,3,4,24,32,43,37
108023,6,20,22,43,45,48,11
108024,6,17,22,34,38,42,20
108025,1,8,14,27,40,45,34
108026,12,13,16,21,42,43,39
108027,3,11,15,25,31,48,36
108028,5,7,22,37,40,45,12
108029,5,10,12,20,28,36,15
108030,7,16,17,36,47,48,49
108031,1,12,16,37,41,47,36
108032,6,13,14,19,24,38,26
108033,1,3,12,16,29,49,4
108034,5,28,38,40,41,47,25
108035,11,28,29,38,41,49,22
108036,10,36,37,44,45,46,48
108037,12,26,32,34,45,46,14
108038,1,14,23,36,39,41,4
108039,4,11,24,29,32,45,49
108040,8,14,16,18,30,35,36
108041,8,24,29,37,44,48,6
108042,1,4,19,24,47,49,36
108043,6,7,19,31,32,40,15
108044,2,14,23,29,35,43,22
108045,11,17,27,31,33,37,12
108046,9,15,27,28,40,43,45
108047,2,7,12,21,23,45,10
108048,7,10,18,32,41,46,42
108049,12,13,19,21,29,39,41
108050,3,11,22,36,38,40,7
108051,8,15,21,31,36,46,18
108052,5,6,19,23,43,48,7
108053,18,22,26,27,30,38,45
108054,6,31,32,39,40,42,28
108055,6,10,12,22,24,37,3
108056,5,16,27,29,33,45,28
108057,7,12,26,30,31,32,13
108058,8,20,31,36,38,45,33
108059,9,13,15,26,31,33,10
108060,2,4,11,33,39,42,19
108061,11,17,32,33,38,46,15
108062,11,17,20,34,37,41,6
108063,12,14,18,19,37,47,30
108064,15,30,31,37,39,48,8
108065,12,17,26,33,35,39,10
108066,12,14,35,37,42,47,6
108067,4,11,36,40,41,48,49
108068,4,12,21,24,33,35,42
108069,5,34,42,46,48,49,14
108070,1,10,20,37,38,49,31
108071,4,13,18,26,41,48,33
108072,5,21,25,32,36,41,33
108073,7,8,31,33,41,45,39
108074,1,16,19,27,35,42,41
108075,5,17,19,21,42,43,16
108076,1,4,8,10,45,47,41
108077,6,26,35,42,44,48,7
108078,11,13,25,32,33,48,31
108079,2,14,19,20,26,43,23
108080,3,12,17,20,29,38,47
108081,2,7,15,27,37,39,43
108082,12,18,29,40,41,48,24
108083,8,17,23,24,31,34,25
108084,2,16,18,20,22,39,21
108085,10,21,25,26,35,37,4
108086,2,9,12,15,20,49,40
108087,10,21,23,33,42,48,41
108088,7,13,18,21,26,34,8
108089,7,12,17,21,30,37,49
108090,13,21,28,35,37,38,33
108091,3,23,32,36,39,40,49
108092,6,17,22,23,32,42,13
108093,3,8,14,16,26,36,41
108094,3,10,12,23,36,41,18
108095,12,15,23,33,41,42,11
108096,9,13,22,37,40,42,26
108097,1,3,9,26,40,47,15
108098,1,19,25,27,31,40,12
108099,3,6,11,16,26,44,31
108100,5,15,30,35,38,47,18
108101,3,18,23,24,26,49,32
108102,8,10,15,19,36,45,37
108103,10,21,24,30,35,45,22
108104,5,9,11,15,36,45,27
108105,16,18,22,23,24,41,39
108106,3,8,18,19,41,48,36
108107,7,12,26,31,37,49,17
108108,9,21,27,31,38,49,3
108109,16,21,22,28,32,46,24
108110,9,18,31,45,48,49,22
108111,17,18,25,32,43,45,5
108112,10,14,26,38,39,47,8
109001,16,18,19,29,30,47,10
109002,1,5,8,15,16,38,7
109003,4,7,12,17,33,38,11
109004,7,20,34,37,38,47,18
109005,7,9,20,42,44,45,8
109006,17,22,30,38,44,48,36
109007,13,18,23,30,44,48,37
109008,7,13,18,21,38,44,3
109009,5,13,16,31,41,45,9
109010,3,28,29,35,41,47,48
109011,9,12,23,33,39,45,24
109012,2,3,13,20,28,38,40
109013,1,4,9,14,15,49,32
109014,6,24,35,41,46,49,9
109015,14,16,19,28,32,49,1
109016,2,10,12,20,26,34,28
109017,3,16,17,30,33,37,29
109018,3,23,27,28,37,48,8
109019,5,15,19,22,30,42,31
109020,9,22,23,37,43,46,38
109021,7,13,23,33,35,36,9
109022,4,13,31,35,37,42,49
109023,13,15,27,34,35,39,31
109024,1,2,8,44,47,48,9
109025,2,9,18,27,46,48,25
109026,8,10,11,17,28,42,40
109027,8,12,13,15,16,30,45
109028,1,4,12,25,34,37,42
109029,14,22,32,33,34,49,31
109030,10,17,28,29,43,47,4
109031,1,8,13,43,46,48,29
109032,10,12,16,29,41,45,1
109033,2,8,10,16,23,49,41
109034,6,21,26,34,36,49,23
109035,2,17,32,43,45,47,34
109036,4,7,12,18,27,44,23
109037,13,33,41,47,48,49,1
109038,17,19,21,26,33,45,12
109039,1,21,31,33,42,44,22
109040,1,2,29,33,45,47,39
109041,7,10,14,15,17,39,45
109042,16,29,36,39,43,48,42
109043,5,18,25,34,48,49,45
109044,17,19,24,36,43,49,26
109045,8,9,10,24,27,31,33
109046,1,5,8,11,35,36,26
109047,6,11,31,40,42,45,43
109048,27,32,33,40,43,44,37
109049,3,7,10,13,39,46,29
109050,1,5,25,29,33,38,19
109051,31,35,39,40,45,49,41
109052,1,6,22,25,33,48,19
109053,3,5,8,24,26,49,19
109054,8,17,28,35,36,47,41
109055,1,6,28,30,33,48,27
109056,6,13,20,23,29,46,42
109057,1,15,16,25,43,46,6
109058,1,2,16,22,27,45,13
109059,10,12,16,37,40,41,5
109060,26,29,31,43,46,49,6
109061,13,19,20,24,40,45,33
109062,4,17,22,34,44,46,13
109063,4,5,22,27,46,49,41
109064,4,10,24,29,32,49,43
109065,5,6,15,25,30,41,29
109066,3,16,25,31,33,36,14
109067,2,20,21,24,35,37,9
109068,8,10,22,23,29,35,2
109069,16,17,18,19,33,45,25
109070,1,5,11,19,31,33,6
109071,6,9,19,40,44,45,1
109072,8,12,40,42,44,47,5
109073,16,20,24,25,31,33,37
109074,4,22,30,43,45,47,15
109075,5,14,40,44,45,46,32
109076,2,23,28,35,46,48,33
109077,13,14,19,22,23,36,24
109078,1,2,6,8,38,43,24
109079,2,9,11,13,39,43,35
109080,1,2,9,20,26,48,36
109081,1,26,29,39,48,49,9
109082,7,16,29,32,37,48,21
109083,3,29,30,32,43,44,35
109084,3,4,5,8,24,39,7
109085,10,31,35,36,39,48,27
109086,1,7,8,33,42,47,31
109087,11,15,16,18,24,26,46
109088,4,5,22,23,34,40,37
109089,2,7,19,25,42,47,6
109090,1,3,15,27,39,41,20
109091,7,25,28,33,44,47,19
109092,5,17,18,28,30,39,13
109093,3,9,20,25,26,35,39
109094,2,9,19,28,30,32,35
109095,6,10,13,19,40,45,7
109096,6,11,15,30,32,44,29
109097,5,9,25,39,44,46,2
109098,5,17,19,21,28,29,43
109099,7,9,12,15,25,29,47
109100,6,14,18,20,38,41,29
109101,16,27,29,35,37,48,31
109102,5,29,36,38,44,45,23
109103,1,19,26,30,35,48,11
109104,4,22,29,37,44,49,30
109105,2,13,27,30,41,44,40
109106,2,4,10,15,31,45,17
109107,8,17,36,37,42,43,34
109108,2,6,17,21,43,48,41
109109,2,11,24,26,30,41,1
109110,20,22,25,30,31,45,2
109111,1,5,6,19,29,30,39
109112,10,14,33,34,35,39,40
110001,5,37,41,42,46,49,18
110002,8,13,17,20,43,48,38
110003,4,18,24,26,43,47,33
110004,1,10,20,28,37,44,33
110005,3,4,8,11,42,44,21
110006,15,29,31,33,41,47,37
110007,7,30,34,36,45,46,43
110008,8,20,23,37,43,46,44
110009,14,22,30,31,39,40,49
110010,14,34,35,38,43,47,40
110011,5,9,19,31,33,35,32
110012,1,3,6,12,27,43,2
110013,3,18,24,34,41,42,37
110014,7,17,18,26,41,47,39
110015,5,6,10,12,44,48,36
110016,13,30,37,40,43,46,5
110017,1,12,16,17,38,45,32
110018,4,8,10,18,33,40,2
110019,1,9,11,12,37,46,43
110020,2,13,24,26,45,49,10
110021,1,3,9,41,42,48,27
110022,2,28,31,36,40,45,24
110023,1,6,10,11,26,47,22
110024,9,18,25,27,32,39,40
110025,1,6,18,19,20,42,43
110026,4,13,22,23,39,42,26
110027,5,7,11,24,27,30,12
110028,6,8,14,29,38,48,35
110029,8,9,13,29,36,46,23
110030,8,21,26,30,33,46,45
110031,8,19,22,24,30,43,13
110032,7,19,28,35,38,48,8
110033,2,15,28,43,45,49,35
110034,15,21,24,30,37,38,34
110035,17,22,23,25,31,33,3
110036,17,21,25,30,40,42,26
110037,1,22,26,28,34,38,35
110038,6,9,18,25,29,35,46
110039,11,25,31,32,35,42,41
110040,7,10,16,21,33,46,2
110041,5,7,9,15,24,26,13
110042,18,20,23,32,37,46,39
110043,5,8,20,23,34,39,31
110044,4,14,22,42,46,47,21
110045,5,15,17,19,27,37,42
110046,12,22,26,35,36,49,32
110047,5,7,9,27,35,42,19
110048,2,13,14,30,43,48,17
110049,11,15,16,18,35,43,46
110050,2,4,25,26,27,29,41
110051,15,31,38,44,46,48,21
110052,4,12,18,23,43,46,7
110053,1,2,9,26,35,41,46
110054,7,8,24,28,32,41,10
110055,4,6,26,36,38,47,43
110056,7,9,16,23,27,44,46
110057,9,11,23,34,41,45,49
110058,2,18,22,25,41,43,14
110059,14,17,27,43,45,48,41
110060,1,4,9,37,38,41,40
110061,1,23,25,30,38,45,14
110062,4,9,11,25,27,29,22
110063,13,19,25,32,42,44,2
110064,3,13,24,26,27,29,9
110065,9,14,17,23,33,48,4
110066,13,16,17,19,39,44,42
110067,1,8,32,41,44,49,23
110068,7,15,23,24,31,38,9
110069,3,28,30,42,43,46,15
110070,2,15,19,29,43,46,23
110071,17,27,30,38,42,44,24
110072,3,4,15,29,32,39,38
110073,1,3,16,17,24,25,46
110074,5,6,19,24,33,41,3
110075,2,11,29,33,41,44,40
110076,3,6,11,13,18,37,46
110077,1,5,17,36,40,41,38
110078,8,11,16,32,35,43,41
110079,7,14,23,43,47,49,48
110080,1,18,21,24,32,41,12
110081,4,20,26,27,45,48,37
110082,1,5,15,16,28,41,44
110083,9,13,18,22,40,41,49
110084,7,12,18,35,37,45,44
110085,2,13,16,28,31,34,21
110086,4,10,21,30,39,42,22
110087,23,24,27,36,47,49,40
110088,2,9,16,22,41,49,7
110089,1,3,11,23,46,47,45
110090,18,19,20,34,37,44,10
110091,1,6,14,26,28,31,30
110092,2,12,21,25,26,37,10
110093,20,21,26,35,39,47,16
110094,8,13,25,27,38,46,12
110095,14,18,21,26,47,49,30
110096,2,9,17,28,36,42,46
110097,1,12,17,21,37,43,47
110098,16,18,26,30,40,44,13
110099,9,14,20,26,39,42,5
110100,2,3,25,27,37,47,26
110101,6,23,34,41,43,44,38
110102,13,15,16,17,23,36,29
110103,6,7,13,32,33,37,42
110104,10,15,16,21,22,30,14
110105,9,10,26,31,40,49,8
110106,8,13,14,35,36,41,5
110107,19,21,30,43,44,48,8
110108,3,15,21,24,27,40,13
110109,7,14,21,27,30,36,43
110110,2,11,30,35,37,40,13
110111,4,5,27,31,44,48,33
110112,2,7,11,19,27,44,22
110113,1,2,8,11,21,45,16
110114,5,9,14,28,34,37,35
111001,3,4,7,19,22,43,36
111002,6,9,15,31,38,39,25
111003,10,11,13,17,36,49,41
111004,5,13,14,24,26,35,39
111005,19,22,33,35,38,48,11
111006,15,26,27,34,37,42,47
111007,2,9,10,15,27,35,44
111008,7,12,36,41,42,44,29
111009,1,2,20,23,26,34,19
111010,3,8,15,20,22,23,36
111011,4,14,32,33,43,44,49
111012,8,25,34,44,45,47,24
111013,6,11,18,23,33,41,39
111014,5,9,18,22,34,36,11
111015,1,18,21,29,36,38,16
111016,2,4,13,36,41,49,16
111017,12,24,29,34,38,42,33
111018,3,18,23,32,40,45,38
111019,5,23,29,33,38,49,24
111020,2,7,11,18,35,45,25
111021,1,22,25,27,41,44,3
111022,23,24,30,42,44,46,48
111023,18,23,26,27,40,42,3
111024,16,20,36,39,47,48,35
111025,3,21,22,34,37,40,5
111026,17,18,21,26,38,49,20
111027,7,17,19,24,31,45,38
111028,1,3,18,29,30,31,26
111029,13,14,16,19,30,44,20
111030,3,4,8,15,21,24,29
111031,1,31,33,37,46,47,36
111032,2,15,21,26,42,44,45
111033,7,21,26,36,43,49,16
111034,14,17,22,45,47,49,26
111035,16,21,24,27,29,43,41
111036,3,10,11,20,34,38,4
111037,8,15,24,27,31,33,13
111038,10,15,19,29,31,44,23
111039,14,17,18,22,40,42,37
111040,2,9,11,14,15,30,22
111041,4,5,18,20,30,41,23
111042,3,28,32,36,47,49,16
111043,12,31,32,42,43,49,36
111044,12,14,18,25,44,48,45
111045,14,16,18,19,21,23,3
111046,1,5,19,28,45,49,29
111047,2,11,20,24,32,48,27
111048,10,24,27,36,37,48,29
111049,9,22,28,29,34,37,36
111050,5,8,12,22,42,49,46
111051,4,19,24,35,45,46,2
111052,4,11,18,37,39,46,27
111053,10,11,17,25,27,28,31
111054,4,11,39,42,43,48,44
111055,4,17,18,19,31,44,46
111056,5,10,13,28,29,38,34
111057,3,9,20,28,29,47,35
111058,7,11,28,30,46,47,48
111059,3,14,20,34,41,44,43
111060,3,18,26,29,40,43,13
111061,21,24,25,41,42,45,34
111062,14,20,29,32,34,43,2
111063,3,8,26,38,45,47,35
111064,5,9,15,35,40,44,10
111065,7,14,17,20,29,45,30
111066,14,15,27,41,43,49,39
111067,9,16,23,29,40,41,43
111068,11,12,24,30,33,38,31
111069,10,12,17,27,29,39,47
111070,12,18,19,21,33,37,15
111071,2,26,28,29,37,48,5
111072,5,18,21,30,43,46,26
111073,9,11,21,23,30,33,34
111074,4,7,15,21,37,43,5
111075,1,7,11,16,18,31,24
111076,3,4,10,21,28,41,15
111077,6,23,24,25,47,49,5
111078,4,16,17,30,38,42,5
111079,5,8,16,27,35,45,37
111080,20,23,25,36,43,45,38
111081,26,32,35,36,38,49,39
111082,7,15,17,28,36,39,1
111083,7,10,15,21,34,48,38
111084,2,6,7,27,31,44,28
111085,11,13,24,29,35,43,1
111086,2,12,30,31,44,48,46
111087,10,17,28,34,40,43,29
111088,5,12,18,28,34,39,24
111089,13,14,23,34,43,49,44
111090,5,10,15,16,26,30,12
111091,1,3,23,25,42,46,2
111092,1,11,13,25,32,36,30
111093,1,14,27,38,39,47,49
111094,11,20,36,37,42,49,3
111095,18,32,36,43,48,49,23
111096,17,18,19,23,25,32,26
111097,17,24,28,32,34,40,3
111098,11,21,23,30,36,47,6
111099,15,18,37,39,44,47,43
111100,2,10,19,20,36,48,37
111101,19,20,26,29,34,39,4
111102,10,17,27,37,44,45,22
111103,5,13,18,24,27,48,32
111104,14,15,20,26,35,41,36
111105,6,21,34,37,46,49,18
111106,8,22,28,40,41,45,34
111107,10,15,27,32,39,42,28
111108,10,16,22,40,45,48,31
111109,6,9,12,14,33,47,34
111110,6,11,12,40,47,49,28
111111,3,4,12,16,29,32,39
111112,9,13,32,34,35,39,1
111113,3,11,16,21,22,39,4
111114,5,8,14,17,20,46,7
